produs2,pret
ecler crema vanilie carrefour 1 buc 120g,3.79
nuca de cocos jasmin 100g,3.49
briosa alba tulip carrefour 1 buc 120g,1.75
stafide aurii elmas 500g,16.99
zahar vanilinat coseli 50g,1.35
chec de post brownie carrefour per kg,17.9
esenta de migdale dr. oetker 4 x 2 ml,3.3
croissant cu sunca 80g,1.13
sos de caramel dr.oetker 200g,7.49
gelfix super 3:1 dr.oetker 25g,2.31
spritat asortat carrefour per kg,24.9
glazura cu gust de ciocolata neagra dr.oetker 100g,3.7
crema de zahar ars dr.oetker 100g,3.3
stafide brune elmas 100g,2.99
esenta de lamaie dr. oetker 4 x 2 ml,3.35
pachet patiserie carrefour 360g,3.95
praf de crema pentru prajituri cu gust de lamaie dr.oetker 50g,3.5
praf de spuma pentru deserturi cu gust de frisca dr.oetker light 45g,2.16
ecler crema cafea carrefour 1 buc 120g,3.79
colorant alimentar albastru dr.oetker 10g,4.2
esenta de cafea dr.oetker 38ml,3.29
boema carrefour 2buc 300g,6.99
sare de lamaie alex 50 g,1.35
colorant alimentar galben dr.oetker 10g,4.2
super esenta rom coseli 20ml,3.7
praf de budinca cu gust de vanilie fara zahar carrefour 45g,0.59
pudding cu aroma de vanilie bourbon dr.oetker premium 34g,1.59
orez desert cu mar si scortisoara dr.oetker 124g,4.25
super esenta vanilie coseli 20ml,3.7
prajitura musuroi de cartita dr.oetker 350g,10.15
stafide mogy 200 g,4.39
pudding cu aroma de ciocolata belgiana dr.oetker premium 51g,1.59
miez de nuca crud orlando's 500g,34.99
glazura cu gust de ciocolata neagra si alba dr.oetker duo 100g,3.7
mix pentru eclere dr.oetker 433g,9.4
cirese confiate orlandos 200g,16.49
foi pentru cremsnit dr.oetker 320g,6.99
crema pentru prajituri cu gust de fructe de padure dr.oetker 50g,2.75
gelatina rosie cu inchegare rapida tort -gelee dr. oetker  8 g,0.9
crema pentru tarte cu fructe dr.oetker 55g,1.75
petale de grau cu ciocolata carrefour 500g,11.77
saratele carrefour per kg,14.9
pudding cu aroma de fistic dr.oetker premium 36g,1.6
esenta de migdale coseli 25ml,1.6
lapte praf integral carrefour 130 g,4.21
topping ciocolata cu lapte askeys treat 325g,8.6
ciocolata alba crinolina 100g,2.94
ciocolata de baut cu aroma de alune de padure dr.oetker 25g,0.75
lingurite din ciocolata elit 54 g,4.92
stafide aurii dr. oetker 50 g,1.9
croissant cu branza 80gr,1.13
decor glazura cu gust de ciocolata dr.oetker 100g,2.05
gelfix extra 2:1 dr.oetker 25g,2.4
praf pentru desert cu capsuni dr.oetker cremeole 75g,2.83
cacao cosmin 50 g,1.89
praf de budinca cu gust de cocos dr.oetker 40g,1
seminte de in sanovita 125g,2.15
esenta de rom coseli 38 ml,3.3
topping caramel askeys treat 325g,8.6
decor glazura cu gust de caramel dr.oetker 100g,2.05
mini rulade asortate carrefour per kg,27.9
esenta migdale adazia 25ml,0.75
boema carrefour 1buc 150g,3.99
sos desert de ciocolata schwartau 125ml,8
mini tarte nuca carrefour per kg,24.9
rahat sultan 250 g,4.75
pachet croissant + pain au chocolat 130g,2.19
pain chocolat unt carrefour 65g,1.57
esenta de rom ruf 4 x 2 ml,3
salam de biscuiti 2 buc 250g,4.99
halva cu cacao carrefour per kg,12.9
esenta de migdale carrefour 30 ml,2.45
ornamente sub forma de inimi pentru prajituri dr. oetker,3
prajitura casa visine carrefour per kg,17.9
blat de tort cu cacao boromir 400g,7.99
crema pentru prajituri cu gust de cafea brandy dr.oetker 50g,2.75
crema pentru prajituri cu gust de caramel dr.oetker 55g,3.5
specialitate casa carrefour per kg,29.9
praf de budinca cu gust de vanilie cosmin 45g,0.59
sare de lamaie alex 5 g,0.25
ornamente pentru prajituri picaturi de ciocolata dr. oetker 30g,3.75
migdale crude fulgi orlando's 250g,39.99
ornamente colorate din zahar dr. oetker,3.39
prajitura diplomat carrefour 300g,6.8
mix pentru chec dr. oetker,6.8
napolitana pentru decor 8 margarete si 16 frunze dr.oetker 8g,6.39
zahar vanilat pudra cosmin 50 g,0.95
ornamente pentru prajituri delicii perlate dr. oetker 30g,3
stafide brune dr. oetker 100 g,2.6
mix pentru gogosi dr. oetker,5.55
tort diplomat cu portocale confiate dr.oetker 430g,12.5
praf de budinca cu gust de ciocolata fara zahar carrefour 45g,0.78
colorant alimentar rosu dr. oetker 10 g,4.2
mix pentru prajitura paradis tropical cu ananas dr.oetker 287g,10.15
praf pentru prajitura tiramisu dr.oetker 370g,10.15
garant pentru aluaturi dospite dr.oetker 32g,1.6
praf pentru briose cu cacao si fulgi de ciocolata dr. oetker,7.5
praf de spuma cu gust de frisca alex 40 g,1.65
praf de budinca cu gust de ciocolata si rom dr. oetker 50 g,0.95
blat de tort simplu carrefour 400 g,4.97
creme ole dr. oetker 76 g,2.6
praf pentru budinca cu gust de cafea dr. oetker 37 g,1.4
sos desert cu fructe de padure carrefour 250g,5.29
praf de budinca cu gust de caramel dr. oetker 38 g,1.4
sos desert de zmeura schwartau 125ml,8.1
tableta dark brown premium festina 100 g,1.99
ciocolata cu vanilie crinodeliciossa 400g,9.65
